# predX, predY, predHeading, trueX, trueY, trueHeading
5.258664932033665917e-02,-1.097037054449630407e-02,7.723776841171180185e-02,4.519999999999999712e-02,-1.000000000000000048e-04,1.000000000000000021e-03
1.115257713027323072e-01,-1.023881542085598034e-02,1.267578828764509558e-01,8.229999999999999816e-02,-0.000000000000000000e+00,1.299999999999999940e-03
1.756368678099270164e-01,-1.086595003614570024e-02,1.765480022392099946e-01,1.302000000000000102e-01,1.000000000000000048e-04,1.699999999999999905e-03
2.426513677977847616e-01,-1.080280876190129434e-02,2.239491103637066549e-01,1.890000000000000013e-01,2.000000000000000096e-04,2.200000000000000133e-03
3.153169579277212975e-01,-1.131143345936187587e-02,2.731747224896665660e-01,2.587999999999999745e-01,2.999999999999999737e-04,2.799999999999999972e-03
3.936593856871398733e-01,-1.232631625603016097e-02,3.176160776274002395e-01,3.386000000000000121e-01,5.999999999999999474e-04,3.399999999999999811e-03
4.744066445950351762e-01,-1.351170230586891743e-02,3.568497662875563803e-01,4.309999999999999942e-01,8.999999999999999754e-04,4.000000000000000083e-03
5.589856415083297447e-01,-1.244766223182826488e-02,3.960687578752813964e-01,5.334999999999999742e-01,1.399999999999999986e-03,4.700000000000000185e-03
6.449734037823322552e-01,-1.381269292407046566e-02,4.345364550599840614e-01,6.469000000000000306e-01,2.000000000000000042e-03,5.300000000000000024e-03
7.314464510264429009e-01,-1.499822458967021814e-02,4.692389564669238178e-01,7.712999999999999856e-01,2.599999999999999881e-03,5.799999999999999600e-03
8.203473016555731245e-01,-1.549043260738316649e-02,4.983197853223247931e-01,9.063999999999999835e-01,3.500000000000000073e-03,6.400000000000000307e-03
9.087692237265113659e-01,-1.617198521935238331e-02,5.269252958837021827e-01,1.042200000000000015e+00,4.400000000000000265e-03,6.899999999999999883e-03
9.979741241081857561e-01,-1.585169588199262028e-02,5.572618760619000300e-01,1.173200000000000021e+00,5.300000000000000024e-03,7.300000000000000065e-03
1.086846526635436794e+00,-1.571484604196313889e-02,5.826286601217407490e-01,1.298999999999999932e+00,6.199999999999999782e-03,7.799999999999999642e-03
1.176946332412410756e+00,-1.708864050017538591e-02,6.053036516000627199e-01,1.419799999999999951e+00,7.199999999999999803e-03,8.200000000000000691e-03
1.266569580375496162e+00,-1.756716399557276334e-02,6.222767353065625784e-01,1.535600000000000076e+00,8.200000000000000691e-03,8.600000000000000006e-03
1.354043650772114527e+00,-1.893983155870274451e-02,6.404669872124528762e-01,1.646200000000000108e+00,9.100000000000000450e-03,8.899999999999999925e-03
1.440621335211554221e+00,-1.795818432771236275e-02,6.556735977864209808e-01,1.751800000000000024e+00,1.009999999999999960e-02,9.299999999999999239e-03
1.525198725439925074e+00,-1.779332340680472857e-02,6.715553941679165417e-01,1.852400000000000047e+00,1.110000000000000049e-02,9.599999999999999159e-03
1.608958774782108581e+00,-1.961919388348014326e-02,6.832279760593876761e-01,1.947899999999999965e+00,1.200000000000000025e-02,9.799999999999999684e-03
1.691111097270896035e+00,-1.908162965216333648e-02,6.928574239363809451e-01,2.038400000000000212e+00,1.290000000000000001e-02,1.009999999999999960e-02
1.772393051791929519e+00,-1.911344556644246212e-02,7.002084145041064245e-01,2.123800000000000132e+00,1.379999999999999977e-02,1.039999999999999952e-02
1.850172710128600739e+00,-1.948926322365451130e-02,7.048384956598088280e-01,2.204200000000000159e+00,1.460000000000000013e-02,1.060000000000000005e-02
1.924407988179966056e+00,-2.013125319697758528e-02,7.066735632647539456e-01,2.279500000000000082e+00,1.540000000000000049e-02,1.080000000000000057e-02
1.997531388654999907e+00,-1.998846559897808628e-02,7.118429672054604751e-01,2.349800000000000111e+00,1.619999999999999912e-02,1.110000000000000049e-02
2.067181389616105314e+00,-1.949382872120204377e-02,7.126681135290906521e-01,2.415099999999999802e+00,1.689999999999999836e-02,1.119999999999999989e-02
2.134724985846399914e+00,-2.096460638987199254e-02,7.099555558354109230e-01,2.475299999999999834e+00,1.760000000000000106e-02,1.140000000000000041e-02
2.198090715648302496e+00,-2.196860460954709951e-02,7.025374486261664053e-01,2.530499999999999972e+00,1.820000000000000090e-02,1.159999999999999920e-02
2.259055380192772411e+00,-2.245056671048470051e-02,6.965877626933353328e-01,2.580700000000000216e+00,1.880000000000000074e-02,1.170000000000000033e-02
2.313485408073000293e+00,-2.401396854303050610e-02,6.893351834128194078e-01,2.625799999999999912e+00,1.930000000000000118e-02,1.190000000000000085e-02
2.363385781566516020e+00,-2.378481738816074290e-02,6.797969972577073694e-01,2.665700000000000180e+00,1.980000000000000163e-02,1.209999999999999964e-02
2.409855098372247539e+00,-2.426975751528057806e-02,6.685667130470300812e-01,2.700600000000000112e+00,2.019999999999999921e-02,1.220000000000000077e-02
2.452628372822603264e+00,-2.573218231432409381e-02,6.559139400552814747e-01,2.730399999999999938e+00,2.060000000000000026e-02,1.230000000000000017e-02
2.490305840881120059e+00,-2.514175782574615964e-02,6.420045953498459967e-01,2.755100000000000104e+00,2.089999999999999844e-02,1.239999999999999956e-02
2.525532159390090570e+00,-2.546325457764233788e-02,6.285974933660108954e-01,2.774700000000000166e+00,2.110000000000000070e-02,1.250000000000000069e-02
